parameters,gcm,variable,value
ζ,BCC-CSM2-MR,est,2.64 ± 0.12
ω_n,BCC-CSM2-MR,est,0.0508 ± 0.0032
σ,BCC-CSM2-MR,est,0.0893 ± 0.0054
T_∞,BCC-CSM2-MR,est,5.49 ± 0.12
ζ,BCC-ESM1,est,2.192 ± 0.048
ω_n,BCC-ESM1,est,0.0656 ± 0.0024
σ,BCC-ESM1,est,0.0758 ± 0.0046
T_∞,BCC-ESM1,est,5.249 ± 0.042
ζ,CAMS-CSM1-0,est,2.271 ± 0.093
ω_n,CAMS-CSM1-0,est,0.0721 ± 0.0044
σ,CAMS-CSM1-0,est,0.0793 ± 0.0046
T_∞,CAMS-CSM1-0,est,4.247 ± 0.041
ζ,CESM2-WACCM,est,3.49 ± 0.16
ω_n,CESM2-WACCM,est,0.0286 ± 0.0016
σ,CESM2-WACCM,est,0.0889 ± 0.0052
T_∞,CESM2-WACCM,est,9.99 ± 0.44
ζ,CESM2,est,3.29 ± 0.12
ω_n,CESM2,est,0.039 ± 0.0017
σ,CESM2,est,0.0953 ± 0.0056
T_∞,CESM2,est,9.93 ± 0.29
ζ,CNRM-CM6-1-HR,est,1.623 ± 0.031
ω_n,CNRM-CM6-1-HR,est,0.0736 ± 0.0034
σ,CNRM-CM6-1-HR,est,0.104 ± 0.0063
T_∞,CNRM-CM6-1-HR,est,6.528 ± 0.031
ζ,CNRM-CM6-1,est,1.708 ± 0.026
ω_n,CNRM-CM6-1,est,0.0773 ± 0.0031
σ,CNRM-CM6-1,est,0.108 ± 0.0064
T_∞,CNRM-CM6-1,est,6.772 ± 0.03
ζ,CNRM-ESM2-1,est,1.953 ± 0.099
ω_n,CNRM-ESM2-1,est,0.041 ± 0.003
σ,CNRM-ESM2-1,est,0.1222 ± 0.0072
T_∞,CNRM-ESM2-1,est,6.84 ± 0.14
ζ,CanESM5,est,1.977 ± 0.025
ω_n,CanESM5,est,0.0781 ± 0.0026
σ,CanESM5,est,0.1241 ± 0.0073
T_∞,CanESM5,est,8.161 ± 0.044
ζ,E3SM-1-0,est,1.891 ± 0.032
ω_n,E3SM-1-0,est,0.0775 ± 0.0039
σ,E3SM-1-0,est,0.193 ± 0.011
T_∞,E3SM-1-0,est,8.73 ± 0.068
ζ,EC-Earth3-Veg,est,2.146 ± 0.028
ω_n,EC-Earth3-Veg,est,0.0796 ± 0.0029
σ,EC-Earth3-Veg,est,0.1391 ± 0.0082
T_∞,EC-Earth3-Veg,est,7.615 ± 0.053
ζ,EC-Earth3,est,1.971 ± 0.034
ω_n,EC-Earth3,est,0.0611 ± 0.0025
σ,EC-Earth3,est,0.1415 ± 0.0084
T_∞,EC-Earth3,est,7.531 ± 0.072
ζ,FGOALS-f3-L,est,2.41 ± 0.12
ω_n,FGOALS-f3-L,est,0.0697 ± 0.0051
σ,FGOALS-f3-L,est,0.1281 ± 0.0074
T_∞,FGOALS-f3-L,est,5.292 ± 0.078
ζ,GFDL-CM4,est,3.03 ± 0.12
ω_n,GFDL-CM4,est,0.067 ± 0.0037
σ,GFDL-CM4,est,0.1176 ± 0.007
T_∞,GFDL-CM4,est,6.37 ± 0.11
ζ,GFDL-ESM4,est,2.215 ± 0.096
ω_n,GFDL-ESM4,est,0.0757 ± 0.0048
σ,GFDL-ESM4,est,0.0907 ± 0.0053
T_∞,GFDL-ESM4,est,4.372 ± 0.04
ζ,GISS-E2-1-G,est,4.39 ± 0.49
ω_n,GISS-E2-1-G,est,0.0465 ± 0.0057
σ,GISS-E2-1-G,est,0.1385 ± 0.0082
T_∞,GISS-E2-1-G,est,4.91 ± 0.25
ζ,GISS-E2-1-H,est,2.328 ± 0.089
ω_n,GISS-E2-1-H,est,0.0713 ± 0.0045
σ,GISS-E2-1-H,est,0.1243 ± 0.0075
T_∞,GISS-E2-1-H,est,5.227 ± 0.068
ζ,GISS-E2-2-G,est,1.394 ± 0.039
ω_n,GISS-E2-2-G,est,0.158 ± 0.019
σ,GISS-E2-2-G,est,0.1045 ± 0.0061
T_∞,GISS-E2-2-G,est,3.683 ± 0.012
ζ,HadGEM3-GC31-LL,est,1.898 ± 0.017
ω_n,HadGEM3-GC31-LL,est,0.0787 ± 0.0022
σ,HadGEM3-GC31-LL,est,0.1101 ± 0.0065
T_∞,HadGEM3-GC31-LL,est,8.012 ± 0.035
ζ,INM-CM4-8,est,2.444 ± 0.087
ω_n,INM-CM4-8,est,0.0693 ± 0.0037
σ,INM-CM4-8,est,0.0661 ± 0.004
T_∞,INM-CM4-8,est,3.697 ± 0.042
ζ,IPSL-CM6A-LR,est,1.995 ± 0.031
ω_n,IPSL-CM6A-LR,est,0.0852 ± 0.0038
σ,IPSL-CM6A-LR,est,0.1553 ± 0.0092
